,id,medianinterval,mediandensity,medianlikes,likes/post
1,2298,20.34444444,0.049153468,21,427.2333338
2,3999,367.6,0.002720348,59,21688.40163
3,4586,17.17851852,0.058212238,21,360.7488858
4,4616,24.01791667,0.041635585,47,1128.842071
5,7075,103.1166667,0.009697753,13,1340.516716
6,11270,857.8416667,0.001165716,64,54901.88005
7,12705,29.53930556,0.033853199,21,620.3254233
8,15169,1341.466667,0.000745453,26,34878.12109
9,15897,99.31666667,0.010068803,5,496.5833575
10,15910,126.5225,0.007903733,34,4301.764748
11,17954,6554.875,0.000152558,865.5,5673252.14
12,19973,480.225,0.002082357,85,40819.12948
13,19982,12.30430556,0.081272364,22.5,276.846875
14,20612,956.0166667,0.001046007,16,15296.26475
15,20823,26.23972801,0.038110151,14,367.3561934
16,21639,340.2666667,0.002938871,10,3402.667215
17,22367,1441.866667,0.000693545,33,47581.62772
18,22677,50.18888889,0.019924729,30,1505.666652
19,27685,23.12277778,0.043247399,45,1040.525004
20,27933,117.6355556,0.008500831,16,1882.168931
21,28143,2229.533333,0.000448524,18,40131.63175
22,28196,6721,0.000148787,40,268840.6917
23,30859,473.6209722,0.002111393,17,8051.556484
24,36795,648.3666667,0.001542337,30,19451.00195
25,38296,48.96666667,0.020422056,21.5,1052.783324
26,39690,89.64305556,0.011155354,51,4571.795749
27,42369,66.20569444,0.015104441,21.5,1423.422423
28,42604,140.6608333,0.0071093,34.5,4852.798447
29,42654,31.53333333,0.031712474,33,1040.599986
30,44506,6077,0.000164555,22,133693.9017
31,49523,26.15111111,0.038239293,13,339.9644444
32,50813,1054.1,0.000948677,17,17919.69237
33,50936,33.76180556,0.029619269,13,438.9034719
34,50970,80.06666667,0.012489592,163,13050.86667
35,53749,62.86930556,0.015906013,20,1257.386122
36,55530,29.72333333,0.033643602,13,386.4033346
37,55853,351.45,0.002845355,65,22844.24966
38,62161,100.1095833,0.009989054,33.5,3353.670928
39,63836,315.7916667,0.003166645,34.5,10894.81139
40,67060,898.5,0.001112966,42.5,38186.25187
41,67861,5369.35,0.000186242,43,230882.4003
42,80018,44.91630787,0.022263629,33.5,1504.696292
43,81664,27.11667824,0.036877673,5,135.5833922
44,83254,101.8583333,0.009817557,59.5,6060.570873
45,89640,30743.96667,3.25E-05,94,2889933.501
46,94386,19.29222222,0.05183436,35,675.2277833
47,95071,291.55,0.003429943,60,17493.00207
48,96636,174.2866667,0.005737674,22,3834.306376
49,96835,4.40712963,0.226905057,28,123.3996297
50,100516,183.2841667,0.005456009,27,4948.672189
51,104668,88.75833333,0.011266548,12,1065.099976
52,110036,1274.45,0.000784652,36,45880.21186
53,119294,98.03333333,0.010200612,28,2744.933343
54,122282,46.64166667,0.021440057,21,979.4750079
55,128243,55341.75,1.81E-05,30,1660256.233
56,128601,26.89644676,0.037179632,28,753.1005148
57,128980,6.176944444,0.161892342,90,555.9249986
58,134568,210.4018056,0.004752811,97.5,20514.17572
59,136940,11018,9.08E-05,17,187305.9455
60,139104,114.6233333,0.008724227,28,3209.453399
61,158042,6239.933333,0.000160258,44,274557.2764
62,175233,263.7,0.003792188,33,8702.100212
63,179300,1739.166667,0.000574988,21,36522.50134
